experimentPhase	block	condition	trialnum	subject	task	noisePercent	leftStreamFlip	rightStreamFlip	leftRight	targetSP	answer0	response0	correct0	SPE	word1_0	word1_1	word1_2	word1_3	word1_4	word1_5	word1_6	word1_7	word1_8	word1_9	word1_10	word1_11	word1_12	word1_13	word1_14	word1_15	word1_16	word1_17	Seq1_0	Seq1_1	Seq1_2	Seq1_3	Seq1_4	Seq1_5	Seq1_6	Seq1_7	Seq1_8	Seq1_9	Seq1_10	Seq1_11	Seq1_12	Seq1_13	Seq1_14	Seq1_15	Seq1_16	Seq1_17	word2_0	word2_1	word2_2	word2_3	word2_4	word2_5	word2_6	word2_7	word2_8	word2_9	word2_10	word2_11	word2_12	word2_13	word2_14	word2_15	word2_16	word2_17	Seq2_0	Seq2_1	Seq2_2	Seq2_3	Seq2_4	Seq2_5	Seq2_6	Seq2_7	Seq2_8	Seq2_9	Seq2_10	Seq2_11	Seq2_12	Seq2_13	Seq2_14	Seq2_15	Seq2_16	Seq2_17	timingBlips	file	SOA	letterdurDesired	letterDurFrames	letterdur
practice	1	0	0	MBL	T1	0	False	False	FALSE	6	Y	K	0	-5	a	m	t	w	d	k	y	f	b	x	q	s	z	e	o	g	h	r	13	5	1	0	16	11	6	9	12	15	7	14	10	4	3	8	2	17	a	m	t	w	d	k	y	f	b	x	q	s	z	e	o	g	h	r	16	13	2	6	5	7	9	0	3	14	10	8	4	11	15	12	1	17	1	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	1	MBL	T1	0	False	False	FALSE	8	J	J	1	0	w	d	b	x	u	h	s	c	f	o	q	g	m	j	r	n	i	v	9	8	1	11	0	14	7	10	13	3	5	4	12	2	15	6	16	17	w	d	b	x	u	h	s	c	f	o	q	g	m	j	r	n	i	v	12	8	7	2	3	17	5	11	9	10	13	1	0	14	16	6	4	15	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	2	MBL	T1	0	False	False	TRUE	8	M	M	1	0	r	y	c	z	v	k	u	e	g	w	p	d	j	x	a	m	n	s	14	3	8	13	11	16	4	1	6	7	10	2	5	17	0	12	9	15	r	y	c	z	v	k	u	e	g	w	p	d	j	x	a	m	n	s	12	16	0	11	7	4	1	9	15	13	6	14	8	17	5	3	10	2	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	3	MBL	T1	0	False	False	TRUE	5	X	X	1	0	r	e	w	l	c	a	x	m	y	g	i	v	u	s	n	b	z	q	10	1	15	5	9	16	17	13	6	7	14	8	12	3	4	0	2	11	r	e	w	l	c	a	x	m	y	g	i	v	u	s	n	b	z	q	1	4	2	13	12	6	8	15	9	16	5	11	10	17	14	0	3	7	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	4	MBL	T1	0	False	False	TRUE	11	E	O	0	-4	d	z	n	h	f	x	o	b	s	e	v	g	u	j	p	k	y	r	5	9	6	14	2	10	8	15	16	1	12	11	3	7	17	13	0	4	d	z	n	h	f	x	o	b	s	e	v	g	u	j	p	k	y	r	8	17	5	12	7	4	1	6	3	11	15	9	13	14	2	10	0	16	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	5	MBL	T1	0	False	False	TRUE	5	R	K	0	-5	m	s	z	p	h	e	t	x	u	r	k	q	y	j	w	l	b	i	2	11	17	14	13	0	3	8	12	5	4	7	10	15	9	1	16	6	m	s	z	p	h	e	t	x	u	r	k	q	y	j	w	l	b	i	10	4	5	0	2	9	7	13	14	1	6	3	12	17	15	16	8	11	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	6	MBL	T1	0	False	False	FALSE	5	U	U	1	0	o	l	r	k	x	y	v	i	m	j	b	s	e	d	u	q	h	a	12	16	7	10	2	14	11	1	3	5	9	6	13	0	15	8	17	4	o	l	r	k	x	y	v	i	m	j	b	s	e	d	u	q	h	a	4	12	5	15	11	16	8	3	9	17	1	6	0	7	14	13	10	2	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	7	MBL	T1	0	False	False	FALSE	8	M	M	1	0	c	k	a	t	u	f	j	q	p	m	n	o	v	e	w	z	b	i	13	7	0	14	16	15	12	4	9	3	6	11	5	8	2	17	10	1	c	k	a	t	u	f	j	q	p	m	n	o	v	e	w	z	b	i	13	15	16	7	0	4	3	1	12	9	11	10	17	2	5	6	14	8	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	8	MBL	T1	0	False	False	FALSE	9	A	A	1	0	z	o	t	g	i	r	e	a	p	h	v	u	x	q	b	w	j	d	10	3	0	17	4	2	16	13	15	7	9	1	12	8	6	14	11	5	z	o	t	g	i	r	e	a	p	h	v	u	x	q	b	w	j	d	5	9	10	16	2	1	11	15	7	6	17	13	0	3	8	4	12	14	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	9	MBL	T1	0	False	False	TRUE	8	W	W	1	0	x	s	i	u	r	v	p	k	t	q	w	m	h	l	a	o	e	b	8	6	5	4	12	2	1	17	15	3	16	9	13	7	14	11	0	10	x	s	i	u	r	v	p	k	t	q	w	m	h	l	a	o	e	b	3	14	8	16	9	1	13	0	10	6	5	2	11	12	4	17	15	7	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	10	MBL	T1	0	False	False	TRUE	8	W	W	1	0	h	j	k	w	u	m	y	r	t	s	g	l	v	a	q	b	z	x	0	10	13	9	6	12	17	8	4	7	14	16	15	5	11	1	3	2	h	j	k	w	u	m	y	r	t	s	g	l	v	a	q	b	z	x	0	10	2	9	15	8	4	12	3	14	11	13	17	7	5	1	6	16	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	11	MBL	T1	0	False	False	TRUE	12	E	A	0	4	k	h	m	i	w	r	u	d	z	v	p	g	e	c	t	q	a	j	4	5	8	17	2	9	13	15	11	10	3	6	7	16	1	14	0	12	k	h	m	i	w	r	u	d	z	v	p	g	e	c	t	q	a	j	7	8	0	6	4	5	17	3	15	10	2	14	12	9	11	1	16	13	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
